EX;QU;AC;SP;SU;AT;CT;BT;VT;BV;OV;CP;ACcd;SPcd;SUcd;ATcd;CTcd;BTcd;VTcd;BVcd;OVcd;CPcd
167;5;3;4,5;6;0;0;0;0;0;2;0;2;1;2;1;1;1;1;1;2;1
168;5;4;13;7;0;0;1;0;1;6;3;2;3;2;1;1;2;1;2;3;2
169;5;1,5;3,5;3,5;0;0;1;1;0;4;0;1;1;1;1;1;2;2;1;3;1
170;5;6;12,25;12,25;0;0;1;0;4;4;1;3;3;3;1;1;2;1;2;3;2
171;5;4;5,5;4,25;0;0;1;0;0;4;0;2;2;1;1;1;2;1;1;3;1
172;5;2;4,75;3,25;1;0;0;0;0;4;0;1;2;1;2;1;1;1;1;3;1
173;5;3;6;3,5;0;0;0;0;0;5;0;2;2;1;1;1;1;1;1;3;1
174;5;6;17;14;0;2;1;0;0;3;5;3;3;3;1;3;2;1;1;2;3
175;5;4;7;9;0;1;2;0;0;5;4;2;2;2;1;2;3;1;1;3;3
176;5;18;24;33;0;4;4;1;20;11;3;3;3;3;1;3;3;2;2;3;2
177;5;12;19,5;22;0;2;3;1;4;10;6;3;3;3;1;3;3;2;2;3;3
178;5;6;13,75;14,75;0;1;1;0;0;5;1;3;3;3;1;2;2;1;1;3;2
179;5;2;4,5;7,5;0;0;1;1;0;5;0;1;1;2;1;1;2;2;1;3;1
180;5;3;8,5;5,5;0;4;0;0;1;11;1;2;2;1;1;3;1;1;2;3;2
181;5;3;0;17,25;0;1;2;0;0;7;1;2;1;3;1;2;3;1;1;3;2
182;5;7;11;10,25;0;1;1;0;0;2;3;3;3;3;1;2;2;1;1;2;2
183;5;6;7,5;8,5;0;2;1;0;3;6;3;3;2;2;1;3;2;1;2;3;2
184;5;9,5;12,75;13;0;1;3;1;0;7;6;3;3;3;1;2;3;2;1;3;3
185;5;5;13;11,5;0;2;1;0;2;7;4;3;3;3;1;3;2;1;2;3;3
186;5;2;3,5;3,25;0;1;0;0;0;0;0;1;1;1;1;2;1;1;1;1;1
187;5;2;5,5;6;0;1;0;0;0;0;1;1;2;2;1;2;1;1;1;1;2
188;5;5;25,75;22,75;0;1;0;0;0;5;3;3;3;3;1;2;1;1;1;3;2
189;9;4,5;3,75;11,5;0;1;1;0;0;0;0;2;1;3;1;2;2;1;1;1;1
190;9;5;6;7;0;2;0;0;0;0;0;3;2;2;1;3;1;1;1;1;1
191;9;2;2;5;1;1;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1
192;9;15;8;16,5;0;3;3;0;4;2;0;3;2;3;1;3;3;1;2;2;1
193;9;6;3;11,5;0;2;1;0;0;4;0;3;1;3;1;3;2;1;1;3;1
194;9;7,5;7;14,25;0;1;2;0;0;0;0;3;2;3;1;2;3;1;1;1;1
195;9;2,5;7;8;0;2;0;0;0;0;3;1;2;2;1;3;1;1;1;1;2
196;7;1,5;2;2,75;0;1;0;0;0;2;0;1;1;1;1;2;1;1;1;2;1
197;7;2;4;6;0;1;0;0;0;2;0;1;1;2;1;2;1;1;1;2;1
198;7;4,5;5;8;0;3;0;0;9;5;3;2;2;2;1;3;1;1;2;3;2
199;7;6,7;14;15,25;0;1;1;0;27;2;7;3;3;3;1;2;2;1;2;2;3
200;7;4,5;8;8,25;0;2;0;0;0;5;5;2;2;2;1;3;1;1;1;3;3
201;7;5;8;12;0;2;1;0;0;3;4;3;2;3;1;3;2;1;1;2;3
202;7;7,1;16;16;0;2;1;0;0;6;5;3;3;3;1;3;2;1;1;3;3
203;7;2;0;2,25;0;1;0;0;0;2;0;1;1;1;1;2;1;1;1;2;1
204;7;2,5;3;4,5;0;1;0;0;0;0;0;1;1;1;1;2;1;1;1;1;1
205;7;3,5;17;9,25;0;1;1;0;0;4;3;2;3;3;1;2;2;1;1;3;2
